Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
2000,Warriors,W,1354.159603658537,95.53658536585365,29,"494,940","12,373",--,"15,821",--,"14,118",--,82,17,65
2000,Wizards,E,1415.3676707317077,96.59756097560975,22,"599,289","14,982",--,"16,198",--,"15,590",--,82,19,63
2001,76ers,E,1609.695389523809,94.16190476190476,5,"805,692","19,651",--,"18,582",--,"19,116",--,82,43,39
2001,Bucks,E,1567.564848,99.82,13,"683,125","16,661",--,"16,584",--,"16,623",--,82,41,41
2001,Bulls,E,1262.6468743902437,87.57317073170732,2,"888,654","21,674",--,"16,336",--,"19,005",--,82,21,61
2001,Cavaliers,E,1415.925218292683,92.20731707317073,16,"650,775","15,872",--,"16,064",--,"15,968",--,82,29,53
2001,Celtics,E,1448.9778719512196,94.6219512195122,19,"629,201","15,346",--,"16,436",--,"15,891",--,82,49,33
2001,Clippers,W,1358.1049804878048,92.45121951219512,24,"599,448","14,620",--,"15,823",--,"15,222",--,82,39,43
2001,Hawks,E,1355.3075804878042,90.96341463414635,27,"563,218","13,737",--,"15,822",--,"14,779",--,82,58,24
2001,Heat,E,1569.9280352941178,88.51764705882353,28,"560,324","13,666",--,"16,403",--,"15,035",--,82,23,59
2001,Hornets,W,1567.9856641304357,92.34782608695652,15,"677,186","16,516",--,"17,046",--,"16,781",--,82,33,49
2001,Jazz,W,1610.0356494252876,96.63218390804597,7,"792,196","19,321",--,"16,989",--,"18,155",--,82,36,46
2001,Kings,W,1622.1300366666662,101.37777777777778,12,"709,997","17,317",--,"18,438",--,"17,877",--,82,44,38
2001,Lakers,W,1635.3867102040822,101.07142857142857,4,"810,283","19,763",--,"17,680",--,"18,721",--,82,44,38
2001,Magic,E,1512.1596813953488,97.70930232558139,8,"776,336","18,935",--,"19,628",--,"19,281",--,82,61,21
2001,Mavericks,W,1583.7888010869565,99.57608695652173,23,"605,031","14,756",--,"16,810",--,"15,783",--,82,30,52
2001,NY Knicks,E,1541.8802356321837,88.73563218390805,14,"680,138","16,588",--,"15,761",--,"16,175",--,82,44,38
2001,Nets,E,1391.4590658536588,92.09756097560975,26,"566,077","13,806",--,"16,085",--,"14,946",--,82,57,25
2001,Nuggets,W,1468.6875390243908,96.5609756097561,20,"619,300","15,104",--,"16,403",--,"15,754",--,82,52,30
2001,Pacers,E,1519.2948999999999,92.32558139534883,10,"733,444","17,888",--,"16,508",--,"17,198",--,82,27,55
2001,Pistons,E,1447.7255902439022,95.57317073170732,21,"615,424","15,010",--,"16,500",--,"15,755",--,82,42,40
2001,Raptors,E,1529.844809574468,96.94680851063829,22,"607,323","14,812",--,"16,397",--,"15,604",--,82,50,32
2001,Rockets,W,1541.5601499999998,97.21951219512195,6,"793,256","19,347",--,"17,611",--,"18,479",--,82,42,40
2001,Spurs,W,1664.2907094736834,95.53684210526316,29,"518,555","12,647",--,"16,714",--,"14,680",--,82,28,54
2001,Suns,W,1581.4167441860466,93.76744186046511,1,"913,175","22,272",--,"16,690",--,"19,481",--,82,58,24
2001,Thunder,W,1515.759324390244,97.29268292682927,9,"737,586","17,989",--,"17,157",--,"17,573",--,82,36,46
2001,Timberwolves,W,1549.9985313953491,96.62790697674419,17,"640,847","15,630",--,"16,497",--,"16,063",--,82,45,37
2001,Trailblazers,W,1629.8685423529405,95.18823529411765,11,"717,371","17,496",--,"16,787",--,"17,142",--,82,50,32
2001,VAN,W,1376.9194,91.73170731707317,3,"831,385","20,277",--,"17,037",--,"18,657",--,82,49,33
2001,Warriors,W,1326.936695121951,92.48780487804878,25,"591,981","14,438",--,"16,058",--,"15,248",--,82,21,61
2001,Wizards,E,1349.9587475609756,93.23170731707317,18,"638,653","15,576",--,"15,872",--,"15,724",--,82,37,45
2002,76ers,E,1542.5523344827584,90.8735632183908,3,"842,976","20,560",100.6,"18,720",130.5,"19,640",112.9,82,48,34
2002,Bucks,E,1549.5378109756102,97.51219512195122,12,"745,305","18,178",97.1,"17,043",113.3,"17,610",104.3,82,42,40
2002,Bulls,E,1292.6427780487804,89.45121951219512,9,"776,311","18,934",87.2,"16,000",107.9,"17,467",95.6,82,30,52
2002,Cavaliers,E,1388.2052146341466,95.26829268292683,23,"596,115","14,539",70.7,"15,809",102.8,"15,174",84.4,82,17,65
2002,Celtics,E,1530.3350897959194,95.5204081632653,18,"659,751","16,091",86.4,"17,576",117.0,"16,833",100.1,82,44,38
2002,Clippers,W,1498.56986097561,95.6829268292683,13,"740,185","18,053",--,"16,569",120.8,"17,311",252.3,82,27,55
2002,Grizzlies,W,1342.825458536585,89.90243902439025,25,"591,030","14,415",--,"15,841",115.5,"15,128",220.5,82,50,32
2002,Hawks,E,1388.1355097560968,94.03658536585365,27,"506,110","12,344",--,"16,315",102.7,"14,329",180.3,82,28,54
2002,Heat,E,1452.4142707317073,87.1951219512195,19,"655,549","15,989",81.6,"16,702",112.5,"16,345",94.9,82,35,47
2002,Hornets,W,1529.51350989011,94.12087912087912,10,"766,108","18,685",93.8,"16,667",130.7,"17,676",108.2,82,25,57
2002,Jazz,W,1554.410295348837,95.61627906976744,15,"709,997","17,317",100.0,"17,701",137.5,"17,509",116.0,82,47,35
2002,Kings,W,1665.2071265306122,104.03061224489795,5,"810,283","19,763",102.5,"17,082",114.2,"18,422",107.6,82,59,23
2002,Lakers,W,1693.717247524752,100.62376237623762,8,"778,877","18,997",98.5,"20,102",157.3,"19,549",121.9,82,37,45
2002,Magic,E,1524.5113337209302,100.17441860465117,22,"621,121","15,149",87.8,"17,345",115.6,"16,247",100.7,82,42,40
2002,Mavericks,W,1618.0213577777781,105.56666666666666,6,"802,783","19,580",--,"17,049",124.3,"18,314",267.0,82,60,22
2002,NY Knicks,E,1432.8021548780494,91.63414634146342,26,"564,194","13,760",68.8,"16,403",109.7,"15,082",86.3,82,49,33
2002,Nets,E,1532.567428431372,96.03921568627452,20,"633,846","15,459",--,"16,396",119.5,"15,928",232.2,82,17,65
2002,Nuggets,W,1412.629798780488,92.1829268292683,16,"686,537","16,744",91.3,"16,677",111.1,"16,711",100.2,82,48,34
2002,Pacers,E,1496.1568321839084,96.50574712643679,29,"462,738","11,286",47.4,"16,457",111.5,"13,871",71.9,82,47,35
2002,Pistons,E,1520.536408695652,93.09782608695652,11,"760,807","18,556",84.1,"16,417",110.7,"17,486",94.8,82,50,32
2002,Raptors,E,1520.003,90.95402298850574,4,"811,135","19,783",99.9,"17,200",111.6,"18,492",105.0,82,24,58
2002,Rockets,W,1456.7715243902442,92.34146341463415,28,"481,227","11,737",--,"16,551",120.6,"14,144",206.2,82,43,39
2002,Spurs,W,1658.3317641304343,96.1195652173913,1,"906,390","22,107",--,"17,248",125.7,"19,677",286.8,82,60,22
2002,Suns,W,1521.167854878049,95.14634146341463,17,"668,939","16,315",85.8,"16,765",131.0,"16,540",104.0,82,44,38
2002,Thunder,W,1567.6154494252874,97.06896551724138,21,"633,516","15,451",90.5,"16,013",124.2,"15,732",105.0,82,40,42
2002,Timberwolves,W,1591.323963529412,99.4235294117647,14,"731,673","17,845",93.9,"16,961",132.6,"17,403",109.5,82,51,31
2002,Trailblazers,W,1564.2717329411767,96.45882352941176,7,"797,821","19,459",97.4,"16,483",129.3,"17,971",109.8,82,50,32
2002,Warriors,W,1331.5438036585367,97.67073170731707,24,"593,182","14,467",73.8,"16,202",126.9,"15,335",94.8,82,38,44
